Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
1160;0;-50.2935;-0.592387;-82.6128;8.8093;2863.6;5.04517;0;0;8.83528e-58;0.01;0;3.15617;102;0;-1-1;-1
1160;1;-38.3554;-29.9773;-84.2916;10.2182;4469.07;5.82817;0;0;8.83528e-58;0.01;0;4.07601;102;0;-1-1;-1
1160;2;-33.2991;-14.4054;-83.8288;8.77028;2825.72;5.0162;0;0;8.83528e-58;0.01;0;4.71087;102;0;-1-1;-1
1160;3;-35.34;0.839419;-89.8398;9.3415;3414.59;5.34816;0;0;8.83528e-58;0.01;0;3.09625;102;0;-1-1;-1
1160;4;-38.7947;22.9064;-85.3924;10.5016;4851.24;6.01213;0;0;8.83528e-58;0.01;0;3.32334;102;0;-1-1;-1
1160;5;-23.3679;-40.4875;-88.2479;9.69359;3815.42;5.53105;0;0;8.83528e-58;0.01;0;3.57874;102;0;-1-1;-1
1160;6;-21.6724;-25.0812;-82.3113;9.11482;3172;5.21057;0;0;8.83528e-58;0.01;0;5.2428;102;0;-1-1;-1
1160;7;-21.7582;-4.52116;-83.1515;9.08602;3142.03;5.19017;0;0;8.83528e-58;0.01;0;5.87887;102;0;-1-1;-1
1160;8;-20.2392;4.03051;-96.5966;9.23109;3294.94;5.27435;0;0;8.83528e-58;0.01;0;2.50843;102;0;-1-1;-1
1160;9;-22.2364;29.4688;-86.147;9.43408;3517.12;5.40932;0;0;8.83528e-58;0.01;0;3.69912;102;0;-1-1;-1
1160;10;-7.86017;-51.6261;-84.5993;10.7894;5261.22;6.18311;0;0;8.83528e-58;0.01;0;3.86373;102;0;-1-1;-1
1160;11;-8.58372;-31.4863;-89.3406;9.5995;3705.4;5.48184;0;0;8.83528e-58;0.01;0;3.70221;102;0;-1-1;-1
1160;12;-8.77827;-14.5397;-84.9945;9.25271;3318.14;5.28613;0;0;8.83528e-58;0.01;0;4.17411;102;0;-1-1;-1
1160;13;-7.32105;4.23298;-83.8708;10.6025;4992.5;6.05697;0;0;8.83528e-58;0.01;0;4.97092;102;0;-1-1;-1
1160;14;0.646547;18.771;-92.9609;10.6264;5026.34;6.0792;0;0;8.83528e-58;0.01;0;3.49677;102;0;-1-1;-1
1160;15;-5.11715;34.85;-86.5614;10.035;4232.96;5.74633;0;0;8.83528e-58;0.01;0;3.53461;102;0;-1-1;-1
1160;16;5.18023;-41.6726;-94.1552;10.4556;4787.74;5.97859;0;0;8.83528e-58;0.01;0;1.81766;102;0;-1-1;-1
1160;17;11.8754;-25.6643;-86.7217;10.4502;4780.42;5.9781;0;0;8.83528e-58;0.01;0;3.85597;102;0;-1-1;-1
1160;18;14.929;-8.80568;-82.9757;9.1379;3196.15;5.21243;0;0;8.83528e-58;0.01;0;3.9115;102;0;-1-1;-1
1160;19;14.3241;12.1376;-84.0023;9.03474;3089.12;5.16771;0;0;8.83528e-58;0.01;0;4.25871;102;0;-1-1;-1
1160;20;15.1306;27.8033;-88.2664;9.20167;3263.54;5.26853;0;0;8.83528e-58;0.01;0;4.73042;102;0;-1-1;-1
1160;21;11.4521;45.3852;-86.7704;10.6762;5097.25;6.0928;0;0;8.83528e-58;0.01;0;2.96878;102;0;-1-1;-1
1160;22;26.8617;-53.9422;-82.4951;9.82149;3968.45;5.61714;0;0;8.83528e-58;0.01;0;3.55375;102;0;-1-1;-1
1160;23;26.5289;-36.3378;-86.0125;10.448;4777.36;5.97622;0;0;8.83528e-58;0.01;0;3.84865;102;0;-1-1;-1
1160;24;26.8873;-18.9375;-81.7077;8.86358;2916.87;5.07152;0;0;8.83528e-58;0.01;0;4.82675;102;0;-1-1;-1
1160;25;27.1457;2.02002;-83.7645;9.02225;3076.33;5.15761;0;0;8.83528e-58;0.01;0;4.98564;102;0;-1-1;-1
1160;26;28.9434;19.4226;-84.6615;9.27407;3341.18;5.29057;0;0;8.83528e-58;0.01;0;5.316;102;0;-1-1;-1
1160;27;28.4435;37.8932;-86.3287;10.3208;4604.95;5.90358;0;0;8.83528e-58;0.01;0;4.24952;102;0;-1-1;-1
1160;28;42.8751;-43.7076;-84.1583;10.3998;4711.59;5.94382;0;0;8.83528e-58;0.01;0;3.527;102;0;-1-1;-1
1160;29;40.3301;-26.7052;-81.8793;8.77581;2831.07;5.01773;0;0;8.83528e-58;0.01;0;4.6269;102;0;-1-1;-1
1160;30;40.5889;-9.68177;-86.1668;10.623;5021.52;6.07794;0;0;8.83528e-58;0.01;0;3.5271;102;0;-1-1;-1
1160;31;40.3061;8.19343;-92.8924;10.5716;4948.95;6.03682;0;0;8.83528e-58;0.01;0;1.87959;102;0;-1-1;-1
1160;32;44.342;29.3353;-85.6134;10.5492;4917.49;6.02558;0;0;8.83528e-58;0.01;0;3.02121;102;0;-1-1;-1
1160;33;-75.2908;-10.6982;-66.9049;9.78061;3919.1;5.59124;0;0;8.83528e-58;0.01;0;3.11317;102;0;-1-1;-1
1160;34;-63.0191;-40.9468;-67.959;10.3341;4622.76;5.904;0;0;8.83528e-58;0.01;0;3.54466;102;0;-1-1;-1
1160;35;-61.909;-22.4007;-66.6099;9.6732;3791.4;5.53771;0;0;8.83528e-58;0.01;0;5.25405;102;0;-1-1;-1
1160;36;-60.6484;-5.35317;-71.596;8.82114;2875.16;5.03402;0;0;8.83528e-58;0.01;0;4.40041;102;0;-1-1;-1
1160;37;-59.8045;10.953;-72.9583;10.7488;5202.05;6.14466;0;0;8.83528e-58;0.01;0;4.04234;102;0;-1-1;-1
1160;38;-53.9585;27.2342;-78.8516;8.88099;2934.08;5.07769;0;0;8.83528e-58;0.01;0;3.79301;102;0;-1-1;-1
1160;39;-59.1871;41.2138;-70.0597;9.77969;3918;5.58774;0;0;8.83528e-58;0.01;0;3.45089;102;0;-1-1;-1
1160;40;-47.6599;-49.3209;-68.0475;9.5487;3646.88;5.47111;0;0;8.83528e-58;0.01;0;3.94967;102;0;-1-1;-1
1160;41;-47.4816;-32.3481;-68.7115;9.80505;3948.55;5.60181;0;0;8.83528e-58;0.01;0;6.16593;102;0;-1-1;-1
1160;42;-46.7013;-15.1681;-73.5659;10.8208;5307.25;6.18;0;0;8.83528e-58;0.01;0;6.39364;102;0;-1-1;-1
1160;43;-46.5771;1.41535;-67.7833;8.78395;2838.95;5.02309;0;0;8.83528e-58;0.01;0;6.22732;102;0;-1-1;-1
1160;44;-44.6659;18.0868;-69.6661;8.80862;2862.94;5.04139;0;0;8.83528e-58;0.01;0;6.18927;102;0;-1-1;-1
