simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.0717358	18999	274.461
40	1161	24	0	110.169	4.02803e-05	7.30081
80	1161	0	0	91.5466	8.58316e-14	0.029912
120	1161	0	0	91.2047	1.82895e-22	0.000122552
160	1161	0	0	91.0865	3.89724e-31	5.02105e-07
200	1161	0	0	90.9079	8.30446e-40	2.05716e-09
240	1161	0	0	90.8874	1.76956e-48	8.42837e-12
280	1161	0	0	90.9587	3.77069e-57	3.45317e-14
320	1161	0	0	90.7991	8.03481e-66	1.41479e-16
360	1160	0	1	90.8342	1.71211e-74	5.79651e-19
400	1160	0	0	90.8755	3.64826e-83	2.37488e-21
440	1160	0	0	90.8134	7.77392e-92	9.73007e-24
480	1160	0	0	100.317	1.65651e-100	438.12
520	1160	0	0	100.005	3.5298e-109	3.68099
560	1160	0	0	91.2464	7.5215e-118	0.0150813
600	1160	0	0	91.0446	1.60273e-126	6.17894e-05
640	1160	0	0	90.937	3.41518e-135	2.53156e-07
680	1160	0	0	90.9153	7.27727e-144	1.0372e-09
720	1160	0	0	90.865	1.55068e-152	4.24949e-12
760	1160	0	0	90.8084	3.30429e-161	1.74105e-14
800	1160	0	0	92.0728	7.04097e-170	7.13323e-17
840	1160	0	0	91.1337	1.50033e-178	2.92254e-19
880	1160	0	0	91.4456	3.197e-187	1.19739e-21
920	1160	0	0	93.3773	6.81235e-196	4.9058e-24
960	1160	0	0	107.903	1.45162e-204	449.402
1000	1160	0	0	91.6146	3.09319e-213	1.8515
1040	1160	0	0	91.0582	6.59115e-222	0.00758575
1080	1160	0	0	90.8645	1.40448e-230	3.10794e-05
1120	1160	0	0	91.2043	2.99275e-239	1.27335e-07
1160	1160	0	0	91.6928	6.37713e-248	5.21702e-10
1200	1160	0	0	90.9638	1.35888e-256	2.13745e-12
1240	1160	0	0	90.8183	2.89558e-265	8.75732e-15
1280	1160	0	0	91.1141	6.17007e-274	3.58794e-17
1320	1160	0	0	91.4639	1.31475e-282	1.47001e-19
1360	1160	0	0	91.8664	2.80156e-291	6.02274e-22
1400	1160	0	0	90.788	5.96972e-300	2.46757e-24
1440	1160	0	0	105.834	0	227.305
1440.02	1160	0	0	0.140667	0	226.681
